filename,langue,categorie
Improving Generalization of Deep Neural Networks b_1812.10761v3.txt,en,anglais
Information-based Preprocessing of PLC Data for Au_2307.15404v2.txt,en,anglais
Initiation à l'informatique - Niveau débutant.txt,fr,français
Initiation à l'informatique.txt,fr,français
Initiation à la programmation (614-initiation-a-la-programmation-divers-auteurs).txt,fr,français
Initiation à la programmation.txt,fr,français
Initiation à l’algorithmique.txt,fr,français
Integrating Preprocessing Methods and Convolutiona_2402.16221v1.txt,en,anglais
Intelligence Artificielle - Guide de Survie.txt,fr,français
Intelligence Artificielle - Résolution de Problèmes.txt,fr,français
Intelligence Artificielle pour l'Ingénierie.txt,fr,français
Intelligence Artificielle.txt,fr,français
Intelligence artificielle et intuition.txt,fr,français
Intelligent behavior depends on the ecological nic_2103.06769v1.txt,en,anglais
Interactions with Generative Information Retrieval_2407.11605v1.txt,en,anglais
Internet & Création.txt,fr,français
Introduction au Deep Learning (introduction-au-deep-learning-jeremie-bigot-4735).txt,fr,français
Introduction au Deep Learning.txt,fr,français
Introduction au Machine Learning.txt,fr,français
Introduction to Machine Learning Class Notes 6757_0904.3664v1.txt,en,anglais
Introduction à Java.txt,fr,français
Introduction à l'apprentissage automatique.txt,fr,français
Introduction à l'informatique.txt,fr,français
Introduction à l'intelligence artificielle.txt,fr,français
Introduction à la programmation.txt,fr,français
Introduction à l’Informatique. Licence 1.txt,fr,français
Introduction à l’algorithmique et à la programmation.txt,fr,français
Introduction à l’informatique (1024-introduction-a-linformatique-divers-auteurs).txt,fr,français
Introduction à l’informatique (1030-introduction-a-linformatique-hp-garnir-et-f-monjoie).txt,fr,français
Introduction à l’informatique.txt,fr,français
Jellyfish A Large Language Model for Data Preproc_2312.01678v6.txt,en,anglais
Joint Modeling and Optimization of Search and Reco_1807.05631v1.txt,en,anglais
L'IA - Kwa sa i lé - 10 réponses sur l'IA.txt,fr,français
LSTM-Based Predictions for Proactive Information R_1606.06137v1.txt,en,anglais
La programmation pour....txt,fr,français
Langages de programmation.txt,fr,français
Large Language Models and Multimodal Retrieval for_2310.14025v1.txt,en,anglais
Large Synoptic Survey Telescope Dark Energy Scien_1211.0310v1.txt,en,anglais
Le langage C (le-langage-c-anne-canteaut-4687).txt,fr,français
Le langage C.txt,fr,français
Learn to Accumulate Evidence from All Training Sam_2306.11113v2.txt,en,anglais
Learning Active Subspaces and Discovering Importan_2307.05639v2.txt,en,anglais
Learning Curves for Decision Making in Supervised_2201.12150v2.txt,en,anglais
Learning Multimodal Transition Dynamics for Model-_1705.00470v2.txt,en,anglais
Learning Neural Network Architectures using Backpr_1511.05497v2.txt,en,anglais
Learning Representations from Dendrograms_1812.09225v4.txt,en,anglais
Les bases de l'informatique et de la programmation.txt,fr,français
Les bases de la programmation orientée objet avec Java.txt,fr,français
Lexique informatique pour débutants.txt,fr,français
Linking Artificial Intelligence Principles_1812.04814v1.txt,en,anglais
Lowering the learning curve for declarative progra_1511.00916v1.txt,en,anglais
L’informatique pour débutants.txt,fr,français
L’intelligence artificielle et le Monde du Livre.txt,fr,français
MEMe An Accurate Maximum Entropy Method for Effic_1906.01101v1.txt,en,anglais
MERL Multi-Head Reinforcement Learning_1909.11939v6.txt,en,anglais
Machine Learning.txt,fr,français
Maintenance of Structural Hole Spanners in Dynamic_2502.11396v1.txt,en,anglais
Match Your Words A Study of Lexical Matching in N_2112.05662v2.txt,en,anglais
Memorization in Deep Neural Networks Does the Los_2107.09957v2.txt,en,anglais
Memory-Efficient Episodic Control Reinforcement Le_1911.09560v1.txt,en,anglais
Memristors -- from In-memory computing Deep Learn_2004.14942v1.txt,en,anglais
MerLin A Discovery Engine for Photonic and Hybrid_2602.11092v2.txt,en,anglais
Modular Belief Updates and Confusion about Measure_1407.7281v1.txt,en,anglais
Modular Mechanistic Networks On Bridging Mechanis_1807.09844v2.txt,en,anglais
Module d’informatique Programmation et algorithmique.txt,fr,français
Monodense Deep Neural Model for Determining Item P_2603.29261v1.txt,en,anglais
Multiple Criteria Decision-Making Preprocessing Us_1004.3258v1.txt,en,anglais
Natural Language Processing for Requirements Trace_2405.10845v1.txt,en,anglais
On Communication Protocols that Compute Almost Pri_1102.1443v3.txt,en,anglais
On the Implementation of the Probabilistic Logic P_1006.4442v1.txt,en,anglais
On the approximation of rough functions with deep_1912.06732v2.txt,en,anglais
Online Information Retrieval Evaluation using the_2210.13202v1.txt,en,anglais
Overcoming low-utility facets for complex answer r_1811.08772v1.txt,en,anglais
POO et Java.txt,fr,français
Patterns of Multiplex Layer Entanglement across Re_1910.05300v1.txt,en,anglais
Pengines Web Logic Programming Made Easy_1405.3953v1.txt,en,anglais
Performance Evaluation of Unicast and Broadcast Mo_1002.1691v1.txt,en,anglais
Perspectives on Surgical Data Science_1610.04276v1.txt,en,anglais
Physics-Inspired Interpretability Of Machine Learn_2304.02381v2.txt,en,anglais
Preprocessing Reward Functions for Interpretabilit_2203.13553v1.txt,en,anglais
Principes de programmation.txt,fr,français
Privacy-preserving machine learning for healthcare_2303.15563v1.txt,en,anglais
Probabilistic Reasoning via Deep Learning Neural_1603.07704v2.txt,en,anglais
Probability Judgement in Artificial Intelligence_1304.3429v1.txt,en,anglais
Programmation avec Python - des jeux au Web.txt,fr,français
Programmation et Algorithmique.txt,fr,français
Public Policymaking for International Agricultural_2111.07508v1.txt,en,anglais
Pulsar Science with the SKA Observatory_2512.16152v1.txt,en,anglais
PyThaiNLP Thai Natural Language Processing in Pyt_2312.04649v1.txt,en,anglais
Reinforcement Learning with Stepwise Fairness Cons_2211.03994v1.txt,en,anglais
Robust principal graphs for data approximation_1603.06828v2.txt,en,anglais
Sample-Efficient Reinforcement Learning with Maxim_1911.09615v1.txt,en,anglais
Satisfactory Medical Consultation based on Termino_2503.17876v1.txt,en,anglais
Science with the X-ray Imaging and Spectroscopy Mi_2003.04962v1.txt,en,anglais
Semantic Edge Computing and Semantic Communication_2411.18199v3.txt,en,anglais
Situated Data Situated Systems A Methodology to_2011.05911v1.txt,en,anglais
Small Data Explainer -- The impact of small data m_2507.11773v1.txt,en,anglais
Social Network Analysis From Graph Theory to Appl_2102.10014v1.txt,en,anglais
SpeechPrompt Prompting Speech Language Models for_2408.13040v1.txt,en,anglais
Stabilizing Extreme Q-learning by Maclaurin Expans_2406.04896v2.txt,en,anglais
Study on the Helpfulness of Explainable Artificial_2410.11896v1.txt,en,anglais
Superbubbles as an Empirical Characteristic of Dir_2001.03409v1.txt,en,anglais
TerraGen A Unified Multi-Task Layout Generation F_2510.21391v1.txt,en,anglais
The Artificial Scientist Logicist Emergentist a_2110.01831v1.txt,en,anglais
The Deep Arbitrary Polynomial Chaos Neural Network_2306.14753v1.txt,en,anglais
The Modern Mathematics of Deep Learning_2105.04026v2.txt,en,anglais
The Retrieval Effectiveness of Web Search Engines_1511.05800v1.txt,en,anglais
The distance backbone of complex networks_2103.04668v2.txt,en,anglais
This Reads Like That Deep Learning for Interpreta_2310.17010v1.txt,en,anglais
Time Adaptive Reinforcement Learning_2004.08600v1.txt,en,anglais
Towards Dropout Training for Convolutional Neural_1512.00242v1.txt,en,anglais
Towards Proactive Information Retrieval in Noisy T_2210.09877v1.txt,en,anglais
Towards the Study of Morphological Processing of t_2006.16212v1.txt,en,anglais
Transformations of Logic Programs on Infinite List_1007.4157v1.txt,en,anglais
Un zeste de Python.txt,fr,français
Unsupervised Representation Learning with Minimax_1904.13223v3.txt,en,anglais
Value Bonuses using Ensemble Errors for Exploratio_2602.12375v1.txt,en,anglais
Vision Based Game Development Using Human Computer_1002.2191v1.txt,en,anglais
Watershed of Artificial Intelligence Human Intell_2104.13155v2.txt,en,anglais
Web Development Essentials (030).txt,fr,français
What Does Information Science Offer for Data Scien_2506.03165v1.txt,en,anglais
Why Data Science Projects Fail_2308.04896v1.txt,en,anglais
Will it Blend Composing Value Functions in Reinfo_1807.04439v1.txt,en,anglais
ePython An implementation of Python for the many-_2010.14827v1.txt,en,anglais
